,timestamp,metadata_id,consumption,meter_reading
0,2018-11-01 00:00:00,1,7,845151
148497,2018-11-01 00:00:00,407,30,6642400
148498,2018-11-01 00:00:00,408,14,4902754
148499,2018-11-01 00:00:00,409,29,2464608
148500,2018-11-01 00:00:00,410,38,2996494
148501,2018-11-01 00:00:00,411,38,7225045
148502,2018-11-01 00:00:00,412,44,4486806
148503,2018-11-01 00:00:00,413,20,2862541
148504,2018-11-01 00:00:00,414,32,2427124
148505,2018-11-01 00:00:00,415,19,3713911
148506,2018-11-01 00:00:00,416,41,2813155
148507,2018-11-01 00:00:00,431,5,653345
148508,2018-11-01 00:00:00,435,0,7895
5628,2018-11-01 00:00:00,2,4,422474
148509,2018-11-01 00:00:00,444,0,26667
5545,2018-11-01 00:00:00,9,2,721655
4914,2018-11-01 00:00:00,4,2,375747
175267,2018-11-01 00:00:00,434,4,154449
148496,2018-11-01 00:00:00,406,1,49875
148495,2018-11-01 00:00:00,405,0,451
148494,2018-11-01 00:00:00,404,0,52257
148493,2018-11-01 00:00:00,403,0,17408
118279,2018-11-01 00:00:00,402,0,9963
8711,2018-11-01 00:00:00,12,0,37604
118504,2018-11-01 00:00:00,337,1,188549
118505,2018-11-01 00:00:00,340,1,254137
8593,2018-11-01 00:00:00,10,14,10739013
8592,2018-11-01 00:00:00,8,3,206118
8474,2018-11-01 00:00:00,13,0,743740
8473,2018-11-01 00:00:00,6,7,843022
175268,2018-11-01 00:00:00,438,0,14881
8116,2018-11-01 00:00:00,14,0,117646884
120052,2018-11-01 00:00:00,378,2,44868
146707,2018-11-01 00:00:00,432,1,643388
6497,2018-11-01 00:00:00,7,3,358725
147421,2018-11-01 00:00:00,379,0,42571
147422,2018-11-01 00:00:00,380,0,36755
147423,2018-11-01 00:00:00,381,0,667
147424,2018-11-01 00:00:00,382,1,179062
148492,2018-11-01 00:00:00,374,51,5759935
120051,2018-11-01 00:00:00,318,2,103215
175269,2018-11-01 00:00:00,442,0,39800
175270,2018-11-01 00:00:00,447,0,759
175271,2018-11-01 00:00:00,451,14,1560391
203948,2018-11-01 00:00:00,459,0,17491
203949,2018-11-01 00:00:00,461,0,23313
203950,2018-11-01 00:00:00,462,0,9307
203951,2018-11-01 00:00:00,463,0,26835
203952,2018-11-01 00:00:00,464,0,9621
203953,2018-11-01 00:00:00,465,0,15860
203954,2018-11-01 00:00:00,466,0,25837
203955,2018-11-01 00:00:00,469,8,983787
203947,2018-11-01 00:00:00,458,0,202
203956,2018-11-01 00:00:00,470,3,556608
204898,2018-11-01 00:00:00,455,191,13975824
204899,2018-11-01 00:00:00,471,6,805919
204900,2018-11-01 00:00:00,475,2,560644
204901,2018-11-01 00:00:00,477,5,521101
205612,2018-11-01 00:00:00,456,0,16913
205613,2018-11-01 00:00:00,472,3,569926
205614,2018-11-01 00:00:00,476,6,774743
232387,2018-11-01 00:00:00,517,0,37176
203957,2018-11-01 00:00:00,474,1,150224
118278,2018-11-01 00:00:00,385,0,62
203946,2018-11-01 00:00:00,443,0,3932
203827,2018-11-01 00:00:00,457,50,4612286
175272,2018-11-01 00:00:00,453,33,5676501
175505,2018-11-01 00:00:00,433,10,879904
175506,2018-11-01 00:00:00,437,0,16823
175507,2018-11-01 00:00:00,441,41,3568893
175508,2018-11-01 00:00:00,446,0,1157
175509,2018-11-01 00:00:00,450,45,4690387
175510,2018-11-01 00:00:00,452,17,5259182
4182,2018-11-01 00:00:00,3,3,371955
203828,2018-11-01 00:00:00,473,11,1216270
175981,2018-11-01 00:00:00,436,6,3412591
175983,2018-11-01 00:00:00,445,0,26645
175984,2018-11-01 00:00:00,449,1,80645
176338,2018-11-01 00:00:00,439,0,43292
176339,2018-11-01 00:00:00,448,0,36430
176340,2018-11-01 00:00:00,454,70,4495648
176341,2018-11-01 00:00:00,460,0,17576
2808,2018-11-01 00:00:00,11,2,299035
2689,2018-11-01 00:00:00,5,0,123551
175982,2018-11-01 00:00:00,440,33,3455196
232506,2018-11-01 00:00:00,467,0,22170
118277,2018-11-01 00:00:00,384,0,224593
118275,2018-11-01 00:00:00,349,30,4713629
33658,2018-11-01 00:00:00,71,0,101
33659,2018-11-01 00:00:00,174,0,146380
34133,2018-11-01 00:00:00,122,7,1007446
34134,2018-11-01 00:00:00,152,0,43333
34135,2018-11-01 00:00:00,171,0,200
34136,2018-11-01 00:00:00,176,0,1272
34252,2018-11-01 00:00:00,104,0,7349607
34253,2018-11-01 00:00:00,151,1,11820874
34254,2018-11-01 00:00:00,172,1,83361
34255,2018-11-01 00:00:00,177,0,40824
61027,2018-11-01 00:00:00,204,0,219839982
61028,2018-11-01 00:00:00,206,0,43288
61029,2018-11-01 00:00:00,218,2,4693389
61030,2018-11-01 00:00:00,220,0,4494502
61031,2018-11-01 00:00:00,234,0,66601
61146,2018-11-01 00:00:00,205,0,126764304
61147,2018-11-01 00:00:00,208,77,7248244
33657,2018-11-01 00:00:00,70,4,1010316
32476,2018-11-01 00:00:00,175,0,59966
32475,2018-11-01 00:00:00,154,0,366683
32474,2018-11-01 00:00:00,153,58,4551514
16709,2018-11-01 00:00:00,24,3,417709
16710,2018-11-01 00:00:00,25,0,56955
16711,2018-11-01 00:00:00,26,34,4093140
16712,2018-11-01 00:00:00,29,7,1901736
16713,2018-11-01 00:00:00,30,6,2298902
16714,2018-11-01 00:00:00,31,8,1300479
16715,2018-11-01 00:00:00,38,0,105160
16716,2018-11-01 00:00:00,72,0,180557
61148,2018-11-01 00:00:00,222,0,175831558
16717,2018-11-01 00:00:00,94,8,949568
16828,2018-11-01 00:00:00,37,1,521779
32467,2018-11-01 00:00:00,103,2,661216
32468,2018-11-01 00:00:00,116,1,167230
32469,2018-11-01 00:00:00,117,0,92899
32470,2018-11-01 00:00:00,118,0,235098
32471,2018-11-01 00:00:00,119,1,115388
32472,2018-11-01 00:00:00,120,1,172692
32473,2018-11-01 00:00:00,121,1,138226
16718,2018-11-01 00:00:00,102,19,6296291
61503,2018-11-01 00:00:00,200,0,1236033
61504,2018-11-01 00:00:00,221,126,11129706
61505,2018-11-01 00:00:00,232,0,46248
90189,2018-11-01 00:00:00,316,19,602495
90190,2018-11-01 00:00:00,334,0,493975
90420,2018-11-01 00:00:00,203,0,66234
90421,2018-11-01 00:00:00,314,166,9848885
90422,2018-11-01 00:00:00,336,2,602124
91015,2018-11-01 00:00:00,313,18,1141952
91016,2018-11-01 00:00:00,317,0,157597
91017,2018-11-01 00:00:00,335,8,1278007
90188,2018-11-01 00:00:00,312,0,1200610
118147,2018-11-01 00:00:00,339,0,0
118267,2018-11-01 00:00:00,341,1,365909
118268,2018-11-01 00:00:00,342,0,158926
118269,2018-11-01 00:00:00,343,0,99766
118270,2018-11-01 00:00:00,344,0,0
118271,2018-11-01 00:00:00,345,0,71655
118272,2018-11-01 00:00:00,346,0,2
118273,2018-11-01 00:00:00,347,0,0
118274,2018-11-01 00:00:00,348,0,78243
118266,2018-11-01 00:00:00,338,0,222389
118276,2018-11-01 00:00:00,383,0,142305
90187,2018-11-01 00:00:00,269,27,2766465
90185,2018-11-01 00:00:00,267,3,226314
62098,2018-11-01 00:00:00,173,0,121427
