,Building,Floor,time,Associated Client Count,Authenticated Client Count
0, Physics , C Floor,2018-11-01 00:02:07,7,7
84, Physics , D Floor,2018-11-01 00:02:07,1,1
93, Postgrad Stats (PSC) , A Floor,2018-11-01 00:02:07,0,0
81, Postgrad Stats (PSC) , B Floor,2018-11-01 00:02:07,2,2
107, Preschool , A floor,2018-11-01 00:02:07,34,34
164, Reception , A floor,2018-11-01 00:02:07,0,0
151, Reception , B floor,2018-11-01 00:02:07,1,0
31, Ruskin Library , A Floor,2018-11-01 00:02:07,0,0
64, Ruskin Library , B floor,2018-11-01 00:02:07,0,0
95, Ruskin Library , LG Floor,2018-11-01 00:02:07,0,0
62, SW hse 12-16 , A floor,2018-11-01 00:02:07,56,54
234, SW hse 12-16 , B floor,2018-11-01 00:02:07,96,96
245, SW hse 12-16 , C floor,2018-11-01 00:02:07,116,115
159, SW hse 17-19 , A floor,2018-11-01 00:02:07,50,50
128, SW hse 17-19 , B floor,2018-11-01 00:02:07,81,80
119, SW hse 17-19 , C floor,2018-11-01 00:02:07,56,55
47, SW hse 20 , A floor,2018-11-01 00:02:07,11,11
39, SW hse 20 , B floor,2018-11-01 00:02:07,27,26
246, SW hse 20 , C floor,2018-11-01 00:02:07,20,17
57, SW hse 21-23 , A floor,2018-11-01 00:02:07,40,40
12, SW hse 21-23 , B floor,2018-11-01 00:02:07,28,28
177, SW hse 21-23 , C,2018-11-01 00:02:07,35,35
206, SW hse 21-23 , C,2018-11-01 00:02:07,35,35
108, SW hse 24-26 , A,2018-11-01 00:02:07,27,27
134, SW hse 24-26 , B floor,2018-11-01 00:02:07,40,39
118, SW hse 24-26 , C floor,2018-11-01 00:02:07,53,53
73, SW hse 24-26 , D Floor,2018-11-01 00:02:07,35,35
188, SW hse 27-28 , A floor,2018-11-01 00:02:07,20,20
15, SW hse 27-28 , B floor,2018-11-01 00:02:07,46,45
21, SW hse 27-28 , C floor,2018-11-01 00:02:07,32,31
146, SW hse 27-28 , D Floor,2018-11-01 00:02:07,35,33
226, SW hse 29 , A floor,2018-11-01 00:02:07,20,20
122, SW hse 29 , B floor,2018-11-01 00:02:07,27,27
190, SW hse 29 , C floor,2018-11-01 00:02:07,29,29
165, SW hse 29 , D Floor,2018-11-01 00:02:07,29,28
205, SW hse 30-31 , A floor,2018-11-01 00:02:07,31,31
181, SW hse 30-31 , B floor,2018-11-01 00:02:07,49,49
97, SW hse 30-31 , C floor,2018-11-01 00:02:07,59,58
131, SW hse 30-31 , D floor,2018-11-01 00:02:07,69,68
198, SW hse 32-33 , A Floor,2018-11-01 00:02:07,19,19
72, SW hse 32-33 , B Floor,2018-11-01 00:02:07,45,45
213, SW hse 32-33 , C Floor,2018-11-01 00:02:07,34,34
142, SW hse 32-33 , D Floor,2018-11-01 00:02:07,13,13
225, SW hse 34 , A Floor,2018-11-01 00:02:07,7,7
259, SW hse 34 , B Floor,2018-11-01 00:02:07,13,13
52, SW hse 35 , A Floor,2018-11-01 00:02:07,13,13
74, SW hse 35 , B Floor,2018-11-01 00:02:07,12,11
157, SW hse 35 , C Floor,2018-11-01 00:02:07,15,15
70, SW hse 36 , A Floor,2018-11-01 00:02:07,3,3
212, SW hse 36 , B Floor,2018-11-01 00:02:07,19,19
60, SW hse 36 , C Floor,2018-11-01 00:02:07,19,17
18, SW hse 36 , D Floor,2018-11-01 00:02:07,18,18
214, SW hse 37-38 , A Floor,2018-11-01 00:02:07,21,19
140, SW hse 37-38 , B Floor,2018-11-01 00:02:07,28,27
114, SW hse 37-38 , C Floor,2018-11-01 00:02:07,30,30
106, SW hse 37-38 , D Floor,2018-11-01 00:02:07,23,23
54, SW hse 39 , A Floor,2018-11-01 00:02:07,13,13
30, SW hse 39 , B Floor,2018-11-01 00:02:07,15,15
55, SW hse 39 , C Floor,2018-11-01 00:02:07,26,26
203, SW hse 39 , D Floor,2018-11-01 00:02:07,13,13
115, SW hse 40-42 , A Floor,2018-11-01 00:02:07,33,31
168, SW hse 40-42 , B Floor,2018-11-01 00:02:07,58,56
252, SW hse 40-42 , C Floor,2018-11-01 00:02:07,66,66
162, SW hse 40-42 , D Floor,2018-11-01 00:02:07,29,28
182, SW hse 43-45 , A Floor,2018-11-01 00:02:07,30,30
111, SW hse 43-45 , B Floor,2018-11-01 00:02:07,43,43
9, SW hse 43-45 , C Floor,2018-11-01 00:02:07,58,57
79, SW hse 43-45 , D Floor,2018-11-01 00:02:07,34,33
175, SW hse 46-49 , A floor,2018-11-01 00:02:07,43,43
253, SW hse 46-49 , B floor,2018-11-01 00:02:07,71,70
13, SW hse 46-49 , C floor,2018-11-01 00:02:07,76,74
242, SW hse 46-49 , D floor,2018-11-01 00:02:07,60,57
88, SW hse 50-52 , A Floor,2018-11-01 00:02:07,44,44
238, SW hse 50-52 , B Floor,2018-11-01 00:02:07,52,48
25, SW hse 50-52 , C Floor,2018-11-01 00:02:07,74,73
127, SW hse 50-52 , D Floor,2018-11-01 00:02:07,35,35
44, SW hse 53-54 , A Floor,2018-11-01 00:02:07,11,11
183, SW hse 53-54 , B Floor,2018-11-01 00:02:07,20,20
208, SW hse 53-54 , C Floor,2018-11-01 00:02:07,28,28
150, SW hse 53-54 , D Floor,2018-11-01 00:02:07,22,22
166, SW hse 55-56 , A Floor,2018-11-01 00:02:07,23,22
240, SW hse 55-56 , B Floor,2018-11-01 00:02:07,39,39
255, SW hse 55-56 , C Floor,2018-11-01 00:02:07,26,25
46, SW hse-158-179 , B floor,2018-11-01 00:02:07,86,85
2, Science and technology , A Floor,2018-11-01 00:02:07,15,14
186, Science and technology , B Floor,2018-11-01 00:02:07,3,3
22, Science and technology , C Floor,2018-11-01 00:02:07,10,8
163, Slaidburn House (LUSU) , B Floor,2018-11-01 00:02:07,11,10
256, Slaidburn House (LUSU) , C floor,2018-11-01 00:02:07,16,16
174, Slaidburn House (LUSU) , D floor,2018-11-01 00:02:07,9,9
133, Slaidburn House (LUSU) , E floor,2018-11-01 00:02:07,13,13
224, Slaidburn House (LUSU) , LG Floor,2018-11-01 00:02:07,19,19
